aX	aY	aZ	gX	gY	gZ	
-0.3258	-0.0208	1.5139	-27.7100	7.0190	16.4185
-0.0763	-0.1112	1.4639	-18.1885	10.4370	16.7847
0.1371	-0.3077	1.4084	-6.4087	5.0659	14.2212
0.1377	-0.4302	1.3049	0.5493	1.3428	7.3853
0.1252	-0.4585	1.1898	6.0425	-3.2959	2.5635
0.1013	-0.4397	1.1293	5.7983	-7.6904	-1.2817
0.0468	-0.4156	1.1129	1.6479	-7.8125	-2.6855
-0.0466	-0.4082	1.0845	0.3052	-11.2915	-3.1738
-0.1141	-0.3781	1.0482	-4.5776	-9.2163	-5.7373
-0.1422	-0.3448	1.0233	-9.5825	-5.6152	-4.0283
-0.1461	-0.3097	1.0315	-10.6812	-7.5073	0.6714
-0.0964	-0.2684	1.0472	-12.9395	-8.8501	3.2349
-0.0619	-0.2218	1.0593	-15.8081	-9.7046	3.8452
-0.0344	-0.1809	1.0847	-17.7612	-9.3384	4.3945
-0.0316	-0.1514	1.1145	-14.8926	-14.8315	4.8828
-0.0653	-0.1143	1.1444	-14.0991	-17.2729	1.9531
-0.0804	-0.0916	1.1646	-10.7422	-15.7471	2.1362
-0.1321	-0.0781	1.2396	-4.7607	-17.5781	2.7466
-0.1599	-0.0547	1.2577	1.0986	-14.5874	0.0610
-0.1943	-0.1262	1.2301	12.6953	-10.8643	-0.9155
-0.1810	-0.2192	1.1537	20.5688	-6.1646	-0.8545
-0.1427	-0.2344	1.1084	19.6533	-1.3428	0.3662
-0.0950	-0.2187	1.0808	19.5923	-4.1504	1.8921
-0.0747	-0.1930	1.0574	18.2495	-8.1177	-0.3052
-0.0867	-0.1876	1.0295	17.5171	-9.2163	-1.7090
-0.1008	-0.1952	1.0010	20.4468	-12.5732	-1.2207
-0.1083	-0.2050	0.9830	19.4702	-11.5967	-4.1504
-0.1162	-0.2014	0.9750	18.4326	-7.3853	-4.5776
-0.1130	-0.2307	0.9536	22.0947	-6.7139	-2.9907
-0.1100	-0.2639	0.9221	26.5503	-8.3008	-2.1362
-0.1046	-0.2766	0.9023	26.9165	-7.3853	-3.1128
-0.0945	-0.2856	0.8837	25.6348	-3.6621	-3.7231
-0.1082	-0.2719	0.8733	26.1841	-2.3193	-3.1738
-0.1348	-0.2483	0.8710	26.4282	-2.9297	-4.5776
-0.1611	-0.2257	0.8817	24.5361	1.1597	-5.4321
-0.1842	-0.2076	0.8855	24.4751	5.6152	-4.2725
-0.1952	-0.2253	0.8743	25.8789	8.4229	-3.9673
-0.1802	-0.2469	0.8729	25.9399	10.6812	-1.9531
-0.1515	-0.2533	0.8840	23.4375	10.2539	0.3052
-0.1324	-0.2540	0.8955	21.1792	6.8359	1.9531
-0.1432	-0.2555	0.9081	21.1182	-0.3662	1.4648
-0.1633	-0.2629	0.9102	19.5923	-2.0142	-0.2441
-0.1694	-0.2606	0.9093	22.0337	-4.5776	1.2817
-0.1584	-0.2634	0.9104	23.1934	-4.3335	0.3052
-0.1561	-0.2526	0.8997	25.0854	-2.8687	0.6104
-0.1659	-0.2437	0.8676	27.5269	-1.5869	0.2441
-0.1775	-0.2594	0.8307	29.6631	-0.7935	-0.1831
-0.1862	-0.2753	0.7926	30.4565	-0.9155	0.4272
-0.1788	-0.2843	0.7579	29.1748	-1.4648	0.3662
-0.1708	-0.2855	0.7271	27.0996	-2.7466	1.5869
-0.1595	-0.2949	0.6931	23.2544	-3.5400	2.5024
