aX	aY	aZ	gX	gY	gZ	
-0.4019	0.3352	0.3130	-82.9468	-99.1821	-49.7437
-0.4921	0.3464	0.3240	-93.6890	-73.4863	-47.1802
-0.6471	0.3695	0.3715	-95.1538	-34.5459	-34.7900
-0.6335	0.3462	0.4535	-92.6514	7.2021	-23.8647
-0.4912	0.2684	0.5016	-89.4165	48.5229	-21.9116
-0.3184	0.2039	0.5242	-92.6514	79.8950	-25.3906
-0.1633	0.1979	0.5316	-103.9429	95.4590	-30.2124
-0.0953	0.2333	0.5729	-119.2017	93.0176	-33.2031
-0.1028	0.3026	0.6066	-132.5073	79.8950	-31.0059
-0.1351	0.3500	0.6453	-141.5405	63.0493	-24.8413
-0.1729	0.3954	0.6716	-147.1558	47.0581	-17.1509
-0.1790	0.4498	0.6830	-151.9165	33.5693	-8.8501
-0.1262	0.5149	0.6709	-158.5693	25.2686	-4.5776
-0.0991	0.5675	0.6906	-161.9873	20.0806	-6.0425
-0.1478	0.6165	0.7275	-162.2314	10.8032	-10.2539
-0.1990	0.6301	0.7383	-160.1562	2.5024	-15.4419
-0.1975	0.6222	0.7262	-158.2642	-1.0986	-19.6533
-0.1538	0.5825	0.6909	-159.4238	-1.7700	-19.7144
-0.0790	0.5819	0.6384	-163.6353	7.2021	-29.2358
-0.0012	0.6216	0.6034	-172.6074	13.0005	-34.2407
0.0028	0.6600	0.6049	-183.2275	12.0239	-34.5459
-0.0370	0.6993	0.6011	-192.3218	5.3711	-34.2407
-0.0680	0.7507	0.5540	-198.6084	-2.8687	-32.7759
-0.1331	0.8016	0.5770	-200.9277	-9.6436	-29.4800
-0.1929	0.8406	0.6290	-197.1436	-13.3057	-24.5361
-0.2355	0.8605	0.6738	-184.9976	-12.6953	-18.8599
-0.2480	0.8707	0.6949	-167.7856	-10.6201	-13.1836
-0.2271	0.8726	0.6707	-148.8037	-8.4229	-8.1787
-0.1777	0.8713	0.6322	-132.1411	-5.3711	-3.9673
-0.1154	0.8531	0.5856	-118.8354	-3.1738	0.0000
-0.0612	0.8444	0.5677	-109.0088	-3.4790	2.0752
-0.0239	0.8448	0.5433	-102.3560	-8.9111	2.0752
-0.0084	0.8473	0.5197	-98.2056	-18.8599	0.0000
-0.0153	0.8533	0.5137	-96.0083	-30.5786	-2.2583
-0.0551	0.8699	0.4974	-93.8721	-40.7104	-4.6387
-0.1053	0.8868	0.4771	-91.4307	-46.7529	-6.4697
-0.1499	0.9009	0.4651	-88.0737	-48.2178	-7.8125
-0.1755	0.9139	0.4569	-83.6182	-45.4712	-8.5449
-0.1898	0.9271	0.4399	-78.1860	-40.6494	-8.9722
-0.2056	0.9331	0.4230	-72.3267	-33.5693	-9.4604
-0.2168	0.9373	0.3972	-66.7725	-25.2075	-9.5215
-0.2026	0.9263	0.3698	-61.9507	-15.9302	-9.0332
-0.1649	0.9091	0.3564	-59.2041	-7.8125	-8.7280
-0.1313	0.9016	0.3511	-57.9834	-3.6011	-8.8501
-0.1162	0.9019	0.3387	-57.5562	-2.8076	-8.7891
-0.1010	0.8855	0.3182	-56.8848	-4.8218	-9.5215
-0.0950	0.8939	0.3175	-57.7393	-9.6436	-9.9487
-0.0856	0.9181	0.2781	-59.2041	-16.9067	-10.5591
-0.0829	0.9124	0.2391	-61.6455	-24.0479	-11.4136
-0.0909	0.8922	0.2028	-66.4673	-29.4800	-11.5356
-0.1111	0.8842	0.1691	-72.9980	-31.7993	-11.7798
-0.1237	0.8940	0.1493	-81.4819	-30.8228	-12.6953
-0.1443	0.8981	0.1331	-90.3320	-25.9399	-14.7705
-0.1489	0.8947	0.1340	-97.1680	-17.6392	-17.0898
-0.1195	0.8936	0.1361	-102.2339	-8.7280	-20.7520
-0.0782	0.8931	0.1366	-105.2856	-2.5024	-24.5361
-0.0573	0.8972	0.1533	-106.7505	0.3052	-26.9775
-0.0894	0.9076	0.1562	-105.6519	-0.0610	-28.3203
-0.0992	0.9054	0.1920	-102.4780	-0.4883	-28.6255
-0.0569	0.9301	0.2384	-97.7783	-3.1128	-27.1606
-0.0281	0.9668	0.2418	-91.5527	-11.9629	-24.1089
0.0076	1.0006	0.2538	-85.7544	-20.2026	-18.9209
0.0353	1.0309	0.3143	-78.4912	-24.9023	-13.6719
-0.1151	1.1497	0.5063	-63.7207	-29.6021	-8.0566
-0.5205	1.3610	0.7654	-28.9307	-39.1235	3.6621
-0.6221	1.4668	1.0475	29.5410	-49.9878	25.3296
-0.7988	1.6930	1.2937	111.1450	-50.5371	52.2461
-0.9736	1.8523	1.2375	228.3936	-41.9922	89.2944
-0.9072	1.8018	0.9889	360.4126	-2.9907	132.5073
-0.7740	1.7699	0.8682	489.3799	69.2139	163.5742
-0.3250	1.7513	0.8180	613.5864	142.7002	163.8794
0.3010	1.6548	0.5474	720.7031	169.9829	130.5542
0.6791	1.5039	0.1085	785.8887	147.9492	77.9419
