aX	aY	aZ	gX	gY	gZ	
-0.0182	-0.9805	-0.4849	194.7632	41.2598	64.5752
-0.0576	-0.9652	-0.4878	179.9316	35.1563	65.5518
-0.0806	-0.9374	-0.4995	171.1426	35.2173	67.3218
-0.0482	-0.9357	-0.5411	166.9922	40.2832	68.9697
0.0203	-0.9531	-0.5701	161.9263	46.9971	69.6411
0.0470	-0.9766	-0.5978	153.3813	50.9033	69.1528
0.0743	-0.9996	-0.6550	140.5029	52.4292	67.5049
0.1393	-1.0404	-0.6981	121.6431	48.9502	64.5142
0.1664	-1.0819	-0.7356	95.5811	41.2598	58.5938
0.1429	-1.0815	-0.7654	64.9414	32.9590	48.1567
0.1044	-1.0261	-0.7614	35.2783	26.7334	34.7290
0.0830	-0.9481	-0.7098	14.2822	23.5596	22.2168
0.0723	-0.8923	-0.6525	5.5542	25.8179	12.2070
0.0392	-0.8663	-0.6113	7.2632	33.6304	5.2490
0.0157	-0.8652	-0.5869	14.4653	44.7388	1.6479
0.0459	-0.8888	-0.5844	23.4375	55.6030	0.0610
0.1163	-0.8989	-0.5970	31.8604	61.1572	2.5024
0.1488	-0.9139	-0.6353	35.7666	57.8613	5.9814
0.1263	-0.9332	-0.6798	35.1563	48.1567	7.3853
0.0862	-0.9371	-0.6938	29.2969	36.7432	7.1411
0.0468	-0.9443	-0.7170	20.4468	27.4658	6.2256
0.0376	-0.9709	-0.7372	9.4604	22.4609	4.2114
0.0310	-0.9962	-0.7712	-3.4180	21.4844	0.4272
0.0601	-1.0227	-0.8752	-19.7144	23.2544	-5.1880
0.1125	-1.0615	-0.9819	-45.0439	25.2075	-11.7187
0.2070	-1.1202	-1.0791	-80.4443	25.6958	-20.6909
0.2415	-1.1731	-1.1212	-126.8921	18.9819	-34.1797
0.2091	-1.2083	-1.3199	-180.1758	1.4038	-50.2930
0.1428	-1.1969	-1.4716	-248.7183	-20.5078	-67.3218
0.1510	-1.0902	-1.4320	-326.8433	-38.8794	-82.5195
0.2323	-1.0001	-1.4185	-394.5923	-66.8335	-93.4448
0.3151	-0.9917	-1.4254	-452.4536	-114.3799	-104.5532
0.3833	-0.9307	-1.3978	-501.0986	-171.4478	-119.0186
0.3998	-0.7933	-1.2463	-540.2832	-227.2949	-137.5732
0.3304	-0.6454	-1.0325	-566.4062	-272.7661	-164.5508
0.0898	-0.3993	-0.8478	-579.9561	-306.7627	-203.6133
-0.2836	-0.1958	-0.3746	-577.3315	-336.6699	-243.2861
-0.7808	-0.2250	0.0359	-540.7715	-334.5947	-259.4604
-1.2578	-0.1248	0.4457	-495.4834	-266.7236	-249.7559
-1.3456	0.0328	0.9266	-440.2466	-168.9453	-222.2290
-1.1760	0.1570	1.3475	-369.1406	-73.9136	-179.8096
-0.9817	0.1949	1.5653	-288.5132	-7.2632	-133.3618
-0.8074	0.1941	1.6014	-212.0972	18.8599	-89.5996
-0.6908	0.2224	1.5232	-148.4375	17.6392	-51.3306
-0.6509	0.2211	1.3887	-97.7783	4.6997	-20.2637
-0.6398	0.1509	1.2213	-59.6313	-5.3101	5.5542
-0.5876	0.0786	1.0680	-32.9590	-6.2866	23.9258
-0.5718	0.0262	1.0410	-14.3433	-5.0659	32.8369
-0.5632	-0.0526	1.0482	4.2725	-3.5400	37.4146
-0.5012	-0.1479	1.0221	25.2686	-0.7935	38.3301
-0.4948	-0.2262	0.9955	44.8608	0.9155	35.6445
-0.5233	-0.3073	0.9513	63.2324	3.1128	32.4707
-0.5726	-0.3832	0.9194	83.6792	8.6670	32.4707
-0.5791	-0.4615	0.8903	104.6753	14.5874	38.5742
-0.5444	-0.5522	0.8264	125.6714	22.8271	48.4619
-0.5134	-0.6473	0.7017	144.9585	34.8511	57.0679
-0.4441	-0.7388	0.5852	158.0811	40.6494	69.3970
-0.3987	-0.7937	0.4971	163.8794	41.0156	78.1860
-0.3801	-0.8322	0.4293	164.5508	39.0625	82.8857
-0.3384	-0.8564	0.3700	162.2314	38.0249	85.5713
-0.3871	-0.8682	0.4219	156.0669	37.5977	86.0596
-0.4032	-0.8387	0.4686	150.3906	37.3535	83.1909
-0.4449	-0.8397	0.4692	156.8604	35.3394	82.2754
-0.4546	-0.8442	0.4493	165.5273	43.1519	83.9844
-0.4049	-0.8462	0.4094	178.2227	58.1665	85.9985
-0.3795	-0.8597	0.3339	193.5425	75.3784	85.5103
-0.3065	-0.8907	0.2715	205.9326	93.5669	82.8247
-0.2113	-0.8884	0.2349	212.9517	109.7412	78.8574
-0.1198	-0.8995	0.1910	219.1162	121.7651	73.9746
